用例编号,模块,测试场景,前置条件,测试数据,操作步骤,预期结果,优先级,用例类型,覆盖点,实际结果,是否通过,缺陷ID,备注
ACC-001,账号与身份,未登录点击受限入口,未登录,用户:<测试账号>,进入我的并点受限功能,弹出登录引导弹窗,P1,正向,登录拦截,,,,
ACC-002,账号与身份,多角色身份切换成功,账号具备多角色,账号:<多角色账号>;当前角色:<角色A>;目标角色:<角色B>,我的-身份切换选择新角色,切换成功且菜单变更,P0,正向,身份切换,,,,
ACC-003,账号与身份,单角色账号切换校验,账号仅单角色,账号:<普通账号>,点击身份切换,不可切换或仅显示当前角色,P1,边界,角色边界,,,,
ACC-004,账号与身份,切换后权限即时生效,账号多角色,账号:<普通账号>,切换后访问新角色功能,权限正确生效,P0,正向,权限一致性,,,,
ACC-005,账号与身份,后台编辑角色生效,管理员已登录后台并进入目标账号编辑弹窗,管理员:<管理员账号>;目标账号:<普通账号>;原角色:<角色A>;新角色:<角色B>,修改角色后点击保存,保存成功且小程序同步生效,P0,正向,后台联动,,,,
ACC-006,账号与身份,后台编辑取消不生效,管理员已登录后台并在编辑弹窗中完成角色修改但未保存,管理员:<管理员账号>;目标账号:<普通账号>;原角色:<角色A>;新角色:<角色B>,点击取消并退出编辑,角色保持不变,P2,异常,取消动作,,,,
ACC-007,账号与身份,普通用户访问会员管理,存在普通用户账号且未配置后台登录密码/未开通后台权限,用户:<测试账号>;角色:<普通用户>,在后台登录页使用该账号尝试登录并访问会员管理,登录失败或登录后无会员管理权限,P0,异常,访问控制,,,,
ACC-008,账号与身份,切换后首页数据一致,已成功切换角色,账号:<普通账号>,回首页并刷新,首页数据与新角色一致,P1,正向,会话一致性,,,,
ACC-009,账号与身份,登录会话持久化,首次登录成功,用户:<测试账号>,关闭重进小程序,按策略保持登录态,P2,正向,会话策略,,,,
ACC-010,账号与身份,退出登录清理会话,已登录,用户:<测试账号>,执行退出后访问我的,回到未登录态,P1,正向,退出流程,,,,
INV-001,招标人管理,发起招标人邀请成功,项目经理已登录且被邀人已注册平台账户,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<已注册手机号>;公司:<公司名称>,招标人管理填写信息后发送邀请,生成待处理邀请记录,P0,正向,邀请主流程,,,,
INV-002,招标人管理,邀请必填项缺失,发起邀请页可用,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,姓名或手机号为空提交,提示必填并阻止提交,P1,边界,必填校验,,,,
INV-003,招标人管理,被邀请手机号格式非法,发起邀请页可用,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,输入非法手机号提交,提示手机号格式错误,P1,边界,格式校验,,,,
INV-004,招标人管理,按待处理筛选,存在至少1条待处理邀请记录,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,切换待处理标签,仅展示待处理记录,P1,正向,状态筛选,,,,
INV-005,招标人管理,按已接受筛选,存在已接受记录,账号A:<投标人账号>/账号B:<项目经理账号>/账号C:<专家账号A> | 招标单位:<招标单位名称>;代理公司:<代理公司名称> | 项目ID:<项目ID>;项目名:<项目名称> | 开标:<开标时间>;获取文件:<招标文件获取开始时间>~<招标文件获取结束时间> | 文件费:<文件费金额>;平台使用费:<平台使用费金额>;投标报价:<投标报价金额> | 报名文件:<报名文件名>;投标文件:<投标文件名>;签名:<签名文件名>,切换已接受标签,仅展示已接受记录,P1,正向,状态筛选,,,,
INV-006,招标人管理,按已拒绝筛选,存在已拒绝记录,账号A:<投标人账号>/账号B:<项目经理账号>/账号C:<专家账号A> | 招标单位:<招标单位名称>;代理公司:<代理公司名称> | 项目ID:<项目ID>;项目名:<项目名称> | 开标:<开标时间>;获取文件:<招标文件获取开始时间>~<招标文件获取结束时间> | 文件费:<文件费金额>;平台使用费:<平台使用费金额>;投标报价:<投标报价金额> | 报名文件:<报名文件名>;投标文件:<投标文件名>;签名:<签名文件名>,切换已拒绝标签,仅展示已拒绝记录,P1,正向,状态筛选,,,,
INV-007,招标人管理,邀请关键字命中,有多条邀请记录,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,输入公司或姓名片段搜索,返回匹配记录,P1,正向,模糊检索,,,,
INV-008,招标人管理,关键字无命中,有邀请记录,账号A:<投标人账号>/账号B:<项目经理账号>/账号C:<专家账号A> | 招标单位:<招标单位名称>;代理公司:<代理公司名称> | 项目ID:<项目ID>;项目名:<项目名称> | 开标:<开标时间>;获取文件:<招标文件获取开始时间>~<招标文件获取结束时间> | 文件费:<文件费金额>;平台使用费:<平台使用费金额>;投标报价:<投标报价金额> | 报名文件:<报名文件名>;投标文件:<投标文件名>;签名:<签名文件名>,输入不存在关键字,显示空列表提示,P2,异常,空结果展示,,,,
INV-009,招标人管理,被邀请人查看详情,投标人收到邀请,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,我的-招标人邀请-查看,展示邀请详情与处理按钮,P0,正向,邀请查看,,,,
INV-010,招标人管理,接受邀请,存在待处理邀请,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,点击接受,状态变已接受并新增招标人权限,P0,正向,接受分支,,,,
INV-011,招标人管理,拒绝邀请,存在待处理邀请,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,点击拒绝,状态变已拒绝且角色不变,P0,正向,拒绝分支,,,,
INV-012,招标人管理,已处理邀请重复处理,邀请已处理,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,再次尝试处理,系统禁止重复处理,P1,异常,幂等性,,,,
INV-013,招标人管理,发起端接收端状态同步,邀请已被处理,账号A:<投标人账号>/账号B:<项目经理账号>/账号C:<专家账号A> | 招标单位:<招标单位名称>;代理公司:<代理公司名称> | 项目ID:<项目ID>;项目名:<项目名称> | 开标:<开标时间>;获取文件:<招标文件获取开始时间>~<招标文件获取结束时间> | 文件费:<文件费金额>;平台使用费:<平台使用费金额>;投标报价:<投标报价金额> | 报名文件:<报名文件名>;投标文件:<投标文件名>;签名:<签名文件名>,发起端刷新列表,状态与接收端一致,P1,正向,双端一致性,,,,
INV-014,招标人管理,邀请记录时间排序,存在多条邀请记录,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,进入列表观察排序,按发起时间倒序展示,P2,边界,排序规则,,,,
INV-015,招标人管理,未注册平台账户不可邀请,项目经理已登录且目标手机号未注册平台账户,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<未注册手机号>;公司:<公司名称>,填写未注册手机号并发送邀请,系统拦截并提示需先注册平台账户,P0,异常,账户准入校验,,,,
INV-016,招标人管理,已是招标人用户重复邀请提示,项目经理已登录且目标用户已具备招标人身份,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<已是招标人手机号>;公司:<公司名称>,输入该用户信息并发送邀请,系统拦截并提示该用户已是招标人无需重复邀请,P0,异常,重复邀请校验,,,,
INV-017,招标人管理,多状态邀请下待处理筛选准确,同时存在待处理已接受已拒绝邀请记录,项目经理:<项目经理账号>;待处理用户:<被邀人姓名A>;已接受用户:<被邀人姓名B>;已拒绝用户:<被邀人姓名C>,切换待处理标签并核对列表,仅显示待处理记录且不包含已接受与已拒绝记录,P1,正向,状态筛选对比,,,,
INV-018,招标人管理,邀请列表无记录空态展示,不存在任何邀请记录,项目经理:<项目经理账号>,进入招标人邀请列表并切换待处理已接受已拒绝标签,各标签均展示空状态提示且页面无报错,P2,异常,空结果展示,,,,
EXP-001,专家申请与资料,申请成为专家成功,投标人或项目经理已登录,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:手写已绘制",我的-申请专家填资料提交,进入待审核状态,P0,正向,申请主流程,,,,
EXP-002,专家申请与资料,申请资料缺失提交,申请页可用,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:手写已绘制",缺关键字段直接提交,提示必填并拦截,P1,边界,必填校验,,,,
EXP-003,专家申请与资料,申请附件格式非法,申请页可用,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:手写已绘制",上传不支持格式附件,上传失败并提示不支持的文件格式,P1,异常,上传校验,,,,
EXP-004,专家申请与资料,重复提交专家申请,已有待审核申请,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:手写已绘制",再次提交申请,提示处理中不可重复提交,P1,异常,重复提交,,,,
EXP-005,专家申请与资料,后台审核通过,后台有待审申请,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",执行审核通过,账号新增专家角色,P0,正向,审核通过分支,,,,
EXP-006,专家申请与资料,后台审核驳回,后台有待审申请,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",执行审核驳回并填原因,前台显示驳回状态与原因,P1,正向,审核驳回分支,,,,
EXP-007,专家申请与资料,专家资料修改提交,专家账号已是专家且资料管理页可用,"专家账号:<专家账号A>;资料变更附件:<证件附件1>,<证件附件2>;签名:手写已绘制",资料管理修改资料并提交,进入待审核原值暂不生效,P0,正向,资料修改流程,,,,
EXP-008,专家申请与资料,资料管理手写签名提交,专家账号已登录且资料管理页可用,"专家账号:<专家账号A>;签名:手写已绘制",进入资料管理-专家签名区完成手写签名并保存,提交成功进入待审核,P0,正向,资料手写签名提交,,,,
EXP-009,专家申请与资料,资料管理手写签名为空拦截,专家资料管理页签名输入框可用,"专家账号:<专家账号A>;签名:未绘制",不在签名区绘制直接点击保存签名,提示需完成手写签名并拦截提交,P2,边界,资料手写签名必填,,,,
EXP-010,专家资料审核,资料变更审核通过后生效,专家账号已是专家且资料变更处于待审核,"专家账号:<专家账号A>;资料变更附件:<证件附件1>,<证件附件2>;签名:手写已绘制",后台对专家资料变更执行审核通过,新资料在小程序端资料页生效可见,P1,正向,生效机制,,,,
EXP-011,专家资料审核,资料变更审核驳回回退,专家账号已是专家且资料变更处于待审核,"专家账号:<专家账号A>;资料变更附件:<证件附件1>,<证件附件2>;签名:手写已绘制",后台对专家资料变更执行审核驳回,继续沿用旧资料且小程序前台不展示驳回原因,P1,正向,回退机制,,,,
EXP-027,专家资料审核,资料待审核期间不影响项目评审,专家账号已是专家且资料变更处于待审核并参与项目评审,"专家账号:<专家账号A>;旧资料:<旧专家信息>;新资料:<待审专家信息>",提交资料变更后在待审核期间进入项目评审流程并查看专家信息,项目评审继续使用审核前旧资料不使用待审新资料,P0,正向,待审隔离,,,,
